1;;3;5;natbidat
2;a;3;5;natbidat
2;b;3;5;natbidat
3;;3;5;natbidat
4;;3;5;natbidat
5;;3;5;alle
6;a;3;6;natbidat
6;b;3;6;natbidat
7;a;3;5;alle
7;b;3;5;alle
8;a;3;5;natbidat
8;b;3;5;natbidat
9;a;3;4;natbidat
9;b;3;4;natbidat
10;;3;5;natbidat
11;a;3;6;natbidat
11;b;3;6;natbidat
12;;3;5;natbidat
13;;3;5;alle
14;;3;4;alle
15;;3;4;alle
16;a;3;5;alle
16;b;3;5;alle
17;;3;6;farmaci
18;;3;3;natbidat
19;a;3;6;alle
19;b;3;6;alle
20;a;3;5;alle
20;b;3;5;alle
21;;3;4;alle
22;;3;6;natbidat
23;a;3;3;natbidat
23;b;3;3;natbidat
24;a;3;5;alle
24;b;3;5;alle
25;;3;4;natbidat
26;;3;5;alle
27;;3;5;alle
28;;3;5;farmaci
29;a;3;6;natbidat
29;b;3;6;natbidat
30;;3;6;farmaci
31;a;3;5;alle
31;b;3;5;alle
32;a;3;5;alle
32;b;3;5;alle
33;a;3;5;alle
33;b;3;5;alle
34;a;3;5;alle
34;b;3;5;alle
34;c;3;5;alle
34;d;3;5;alle
34;e;3;5;alle
35;a;3;3;natbidat
35;b;3;3;natbidat
36;;3;4;natbidat
37;;3;5;natbidat
38;a;3;4;natbidat
38;b;3;4;natbidat
39;a;3;5;alle
39;b;3;5;alle
40;a;3;5;natbidat
40;b;3;5;natbidat
40;c;3;5;natbidat
41;;3;5;alle
42;;3;5;alle
43;a;3;5;natbidat
43;b;3;5;natbidat
44;a;3;4;natbidat
44;b;3;4;natbidat
45;a;3;5;natbidat
45;b;3;5;natbidat
46;a;3;5;natbidat
46;b;3;5;natbidat
47;;3;5;alle
48;a;3;5;alle
48;b;3;5;alle
49;a;3;5;natbidat
49;b;3;5;natbidat
49;c;3;5;natbidat
50;a;3;5;natbidat
50;b;3;5;natbidat
51;;3;5;natbidat
52;a;3;6;farmaci
52;b;3;6;farmaci
52;c;3;6;farmaci
53;;3;5;alle
54;a;3;5;natbidat
54;b;3;5;natbidat
55;;3;5;alle
56;;3;6;farmaci
57;;3;5;natbidat
58;a;3;5;farmaci
58;b;3;5;farmaci
59;;3;5;natbidat
60;;3;5;alle
61;;3;5;natbidat
62;;3;5;natbidat
63;;3;5;natbidat
64;a;3;6;natbidat
64;b;3;6;natbidat
64;c;3;6;natbidat
65;a;3;5;natbidat
65;b;3;5;natbidat
66;;3;5;natbidat
67;;3;5;natbidat
68;;3;5;natbidat
69;;3;5;natbidat
70;a;3;6;natbidat
70;b;3;6;natbidat
71;a;3;5;natbidat
71;b;3;5;natbidat
71;c;3;5;natbidat
72;;3;4;natbidat
73;a;3;5;alle
73;b;3;5;alle
73;c;3;5;alle
74;a;3;5;natbidat
74;b;3;5;natbidat
75;a;3;5;natbidat
75;b;3;5;natbidat
76;;3;6;natbidat
77;;3;5;natbidat
78;a;3;6;natbidat
78;b;3;6;natbidat
79;;3;3;natbidat
80;;3;5;alle
81;;3;5;natbidat
82;;3;3;natbidat
83;;3;4;natbidat
84;a;3;4;alle
84;b;3;4;alle
84;c;3;4;alle
84;d;3;4;alle
85;a;3;5;natbidat
85;b;3;5;natbidat
86;a;3;6;natbidat
86;b;3;6;natbidat
87;;3;5;alle
88;;3;5;natbidat
89;a;3;5;natbidat
89;b;3;5;natbidat
90;;3;4;natbidat
91;a;3;4;alle
91;b;3;4;alle
92;;3;5;natbidat
93;a;3;5;farmaci
93;b;3;5;farmaci
94;;3;5;natbidat
95;a;3;5;natbidat
95;b;3;5;natbidat
95;c;3;5;natbidat
96;;3;5;natbidat
97;a;3;5;natbidat
97;b;3;5;natbidat
98;;3;5;natbidat
99;a;3;6;natbidat
99;b;3;6;natbidat
100;a;3;5;natbidat
100;b;3;5;natbidat
