ID;team;title;min_cap;max_cap;type;prj_id;instit;institute;mini;wl
1;a;Exact algorithms for the bounded degree vertex cover problem;0;4;datalogi;1a;IMADA;IMADA;;
1;b;Exact algorithms for the bounded degree vertex cover problem;0;4;datalogi;1b;IMADA;IMADA;;
2;a;Exact algorithms for the bounded degree vertex cover problem;0;4;datalogi;2a;IMADA;IMADA;;
2;b;Exact algorithms for the bounded degree vertex cover problem;0;4;datalogi;2b;IMADA;IMADA;;
3;a;Advanced Topics in Compiler Construction;0;4;datalogi;3a;IMADA;IMADA;;
3;b;Advanced Topics in Compiler Construction;0;4;datalogi;3b;IMADA;IMADA;;
4;a;Implementing choreography extraction;0;4;datalogi;4a;IMADA;IMADA;;
4;b;Implementing choreography extraction;0;4;datalogi;4b;IMADA;IMADA;;
5;a;Sorting networks;0;4;datalogi;5a;IMADA;IMADA;;
5;b;Sorting networks;0;4;datalogi;5b;IMADA;IMADA;;
6;a;Machine learning based stratification of cancer subtypes;0;4;datalogi;6a;IMADA;IMADA;;
6;b;Machine learning based stratification of cancer subtypes;0;4;datalogi;6b;IMADA;IMADA;;
7;a;Constraint programming and algorithm portfolio;0;4;datalogi;7a;IMADA;IMADA;;
7;b;Constraint programming and algorithm portfolio;0;4;datalogi;7b;IMADA;IMADA;;
8;a;Data Analysis on Real World Data;0;4;datalogi;8a;IMADA;IMADA;;
8;b;Data Analysis on Real World Data;0;4;datalogi;8b;IMADA;IMADA;;
8;c;Data Analysis on Real World Data;0;4;datalogi;8c;IMADA;IMADA;;
8;d;Data Analysis on Real World Data;0;4;datalogi;8d;IMADA;IMADA;;
8;e;Data Analysis on Real World Data;0;4;datalogi;8e;IMADA;IMADA;;
8;f;Data Analysis on Real World Data;0;4;datalogi;8f;IMADA;IMADA;;
9;a;Parallel Algorithms;0;4;datalogi;9a;IMADA;IMADA;;
9;b;Parallel Algorithms;0;4;datalogi;9b;IMADA;IMADA;;
10;a;Graph Transformation;0;4;datalogi;10a;IMADA;IMADA;;
10;b;Graph Transformation;0;4;datalogi;10b;IMADA;IMADA;;
11;a;K shortest paths in graphs and hypergraphs;0;4;datalogi;11a;IMADA;IMADA;;
11;b;K shortest paths in graphs and hypergraphs;0;4;datalogi;11b;IMADA;IMADA;;
12;a;Analysis of drone inspection images;0;4;datalogi;12a;IMADA;IMADA;;
12;b;Analysis of drone inspection images;0;4;datalogi;12b;IMADA;IMADA;;
