1;"Exact algorithms for the bounded degree vertex cover problem";datalogi;IMADA;8;1;2;0;0;1;2;0;0;2;0;0;0;
2;"Exact algorithms for the bounded degree vertex cover problem";datalogi;IMADA;14;0;0;3;0;2;2;4;3;0;0;0;0;
3;"Advanced Topics in Compiler Construction";datalogi;IMADA;28;5;0;3;7;3;7;2;1;0;0;0;0;
4;"Implementing choreography extraction";datalogi;IMADA;21;1;1;1;0;8;7;1;0;0;2;0;0;
5;"Sorting networks";datalogi;IMADA;25;0;1;2;4;1;4;10;0;0;1;2;0;
6;"Machine learning based stratification of cancer subtypes";datalogi;IMADA;38;10;12;6;3;4;0;1;1;1;0;0;0;
7;"Constraint programming and algorithm portfolio";datalogi;IMADA;10;0;0;0;2;3;1;2;0;0;0;0;2;
8;"Data Analysis on Real World Data";datalogi;IMADA;35;8;4;4;5;5;2;6;0;1;0;0;0;
9;"Parallel Algorithms";datalogi;IMADA;39;5;7;13;4;2;6;2;0;0;0;0;0;
10;"Graph Transformation";datalogi;IMADA;22;0;3;0;5;10;1;3;0;0;0;0;0;
11;"K shortest paths in graphs and hypergraphs";datalogi;IMADA;39;6;5;7;4;1;7;9;0;0;0;0;0;
12;"Analysis of drone inspection images";datalogi;IMADA;25;5;6;2;7;1;2;1;1;0;0;0;0;
